,,,,,
,,System,Batch,Count<CB,Percentage
,,x264,B1,19,100.00%
,,x264,B1,17,89.47%
,,x264,B1,18,94.74%
,,x264,B1,19,100.00%
,,x264,B1,18,94.74%
,,x264,B1,15,78.95%
,,x264,B1,18,94.74%
,,x264,B1,19,100.00%
,,x264,B1,18,94.74%
,,x264,B1,18,94.74%
,,x264,B1,18,94.74%
,,x264,B1,19,100.00%
,,x264,B1,18,94.74%
,,x264,B1,16,84.21%
,,x264,B1,16,84.21%
,,x264,B1,19,100.00%
,,x264,B1,19,100.00%
,,x264,B1,18,94.74%
,,x264,B1,19,100.00%
,,x264,B1,17,89.47%
,,x264,B2,13,68.42%
,,x264,B2,0,0.00%
,,x264,B2,8,42.11%
,,x264,B2,0,0.00%
,,x264,B2,1,5.26%
,,x264,B2,0,0.00%
,,x264,B2,2,10.53%
,,x264,B2,0,0.00%
,,x264,B2,4,21.05%
,,x264,B2,11,57.89%
,,x264,B2,3,15.79%
,,x264,B2,0,0.00%
,,x264,B2,5,26.32%
,,x264,B2,2,10.53%
,,x264,B2,0,0.00%
,,x264,B2,0,0.00%
,,x264,B2,1,5.26%
,,x264,B2,7,36.84%
,,x264,B2,7,36.84%
,,x264,B2,1,5.26%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,17,89.47%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B1,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,sqlite,B2,19,100.00%
,,xz,B1,2,10.53%
,,xz,B1,2,10.53%
,,xz,B1,0,0.00%
,,xz,B1,0,0.00%
,,xz,B1,1,5.26%
,,xz,B1,0,0.00%
,,xz,B1,0,0.00%
,,xz,B1,3,15.79%
,,xz,B1,1,5.26%
,,xz,B1,1,5.26%
,,xz,B1,0,0.00%
,,xz,B1,1,5.26%
,,xz,B1,1,5.26%
,,xz,B1,0,0.00%
,,xz,B1,0,0.00%
,,xz,B1,0,0.00%
,,xz,B1,1,5.26%
,,xz,B1,2,10.53%
,,xz,B1,0,0.00%
,,xz,B1,0,0.00%
,,xz,B2,1,5.26%
,,xz,B2,6,31.58%
,,xz,B2,5,26.32%
,,xz,B2,7,36.84%
,,xz,B2,1,5.26%
,,xz,B2,0,0.00%
,,xz,B2,1,5.26%
,,xz,B2,0,0.00%
,,xz,B2,0,0.00%
,,xz,B2,1,5.26%
,,xz,B2,0,0.00%
,,xz,B2,0,0.00%
,,xz,B2,7,36.84%
,,xz,B2,0,0.00%
,,xz,B2,1,5.26%
,,xz,B2,1,5.26%
,,xz,B2,8,42.11%
,,xz,B2,4,21.05%
,,xz,B2,1,5.26%
,,xz,B2,4,21.05%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B1,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,18,94.74%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,18,94.74%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,curl,B2,19,100.00%
,,xterm,B1,13,68.42%
,,xterm,B1,13,68.42%
,,xterm,B1,12,63.16%
,,xterm,B1,11,57.89%
,,xterm,B1,11,57.89%
,,xterm,B1,15,78.95%
,,xterm,B1,13,68.42%
,,xterm,B1,11,57.89%
,,xterm,B1,11,57.89%
,,xterm,B1,11,57.89%
,,xterm,B1,14,73.68%
,,xterm,B1,12,63.16%
,,xterm,B1,12,63.16%
,,xterm,B1,13,68.42%
,,xterm,B1,9,47.37%
,,xterm,B1,11,57.89%
,,xterm,B1,14,73.68%
,,xterm,B1,10,52.63%
,,xterm,B1,11,57.89%
,,xterm,B1,13,68.42%
,,xterm,B2,18,94.74%
,,xterm,B2,17,89.47%
,,xterm,B2,17,89.47%
,,xterm,B2,18,94.74%
,,xterm,B2,15,78.95%
,,xterm,B2,12,63.16%
,,xterm,B2,17,89.47%
,,xterm,B2,18,94.74%
,,xterm,B2,17,89.47%
,,xterm,B2,11,57.89%
,,xterm,B2,17,89.47%
,,xterm,B2,16,84.21%
,,xterm,B2,19,100.00%
,,xterm,B2,18,94.74%
,,xterm,B2,19,100.00%
,,xterm,B2,18,94.74%
,,xterm,B2,18,94.74%
,,xterm,B2,17,89.47%
,,xterm,B2,16,84.21%
,,xterm,B2,19,100.00%
