config1,config2,val
xz-00001,ixz-00002-00001,True
xz-00001,ixz-00003-00001,False
xz-00001,ixz-00004-00001,True
xz-00001,ixz-00005-00001,False
xz-00001,ixz-00006-00001,False
xz-00001,ixz-00007-00001,False
xz-00001,ixz-00008-00001,True
xz-00001,ixz-00009-00001,False
xz-00001,ixz-00010-00001,False
xz-00001,ixz-00011-00001,False
xz-00001,ixz-00012-00001,True
xz-00001,ixz-00013-00001,False
xz-00001,ixz-00014-00001,False
xz-00001,ixz-00015-00001,True
xz-00001,ixz-00016-00001,False
xz-00001,ixz-00017-00001,False
xz-00001,ixz-00018-00001,True
xz-00001,ixz-00019-00001,False
xz-00001,ixz-00020-00001,True
xz-00002,ixz-00001-00002,True
xz-00002,ixz-00003-00002,-
xz-00002,ixz-00004-00002,True
xz-00002,ixz-00005-00002,-
xz-00002,ixz-00006-00002,-
xz-00002,ixz-00007-00002,-
xz-00002,ixz-00008-00002,True
xz-00002,ixz-00009-00002,-
xz-00002,ixz-00010-00002,-
xz-00002,ixz-00011-00002,-
xz-00002,ixz-00012-00002,True
xz-00002,ixz-00013-00002,-
xz-00002,ixz-00014-00002,-
xz-00002,ixz-00015-00002,True
xz-00002,ixz-00016-00002,-
xz-00002,ixz-00017-00002,-
xz-00002,ixz-00018-00002,True
xz-00002,ixz-00019-00002,-
xz-00002,ixz-00020-00002,True
xz-00003,ixz-00001-00003,-
xz-00003,ixz-00002-00003,-
xz-00003,ixz-00004-00003,-
xz-00003,ixz-00005-00003,-
xz-00003,ixz-00006-00003,-
xz-00003,ixz-00007-00003,-
xz-00003,ixz-00008-00003,-
xz-00003,ixz-00009-00003,-
xz-00003,ixz-00010-00003,-
xz-00003,ixz-00011-00003,-
xz-00003,ixz-00012-00003,-
xz-00003,ixz-00013-00003,-
xz-00003,ixz-00014-00003,-
xz-00003,ixz-00015-00003,-
xz-00003,ixz-00016-00003,-
xz-00003,ixz-00017-00003,-
xz-00003,ixz-00018-00003,-
xz-00003,ixz-00019-00003,-
xz-00003,ixz-00020-00003,-
xz-00004,ixz-00001-00004,True
xz-00004,ixz-00002-00004,True
xz-00004,ixz-00003-00004,False
xz-00004,ixz-00005-00004,-
xz-00004,ixz-00006-00004,False
xz-00004,ixz-00007-00004,False
xz-00004,ixz-00008-00004,True
xz-00004,ixz-00009-00004,False
xz-00004,ixz-00010-00004,False
xz-00004,ixz-00011-00004,False
xz-00004,ixz-00012-00004,True
xz-00004,ixz-00013-00004,False
xz-00004,ixz-00014-00004,False
xz-00004,ixz-00015-00004,True
xz-00004,ixz-00016-00004,False
xz-00004,ixz-00017-00004,False
xz-00004,ixz-00018-00004,True
xz-00004,ixz-00019-00004,False
xz-00004,ixz-00020-00004,True
xz-00005,ixz-00001-00005,False
xz-00005,ixz-00002-00005,False
