Branch,Option,bt_real,bt_user,bt_sys,BinarySize
sqlite-minimal,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--disable-math']",71.5441,0.0009,0.0000,8405896
sqlite-disable-option-checking,--disable-option-checking,71.4940,0.0010,0.0000,8405896
sqlite-disable-libtool-lock,--disable-libtool-lock,71.5596,0.0000,0.0009,8405896
sqlite-disable-largefile,--disable-largefile,71.7845,0.0000,0.0008,8405896
sqlite-disable-threadsafe,--disable-threadsafe,72.3647,0.0000,0.0009,8464736
sqlite-disable-tcl,--disable-tcl,71.4898,0.0001,0.0009,8405896
sqlite-disable-readline,--disable-readline,71.3384,0.0010,0.0000,8408520
sqlite-disable-amalgamation,--disable-amalgamation,74.8859,0.0000,0.0009,8405896
sqlite-disable-load-extension,--disable-load-extension,71.5850,0.0000,0.0009,8437080
sqlite-disable-math,--disable-math,71.4134,0.0001,0.0008,8442928
