Br2,max,mean,min
00001,0.3001,0.1961421052631579,0.0573
00002,41.4188,32.87197894736842,1.1266
00003,30.3848,19.088236842105264,0.1102
00004,42.2259,33.41528947368421,0.1156
00005,0.3542,0.24022105263157892,0.0647
00006,1.3287,1.2568894736842107,1.2083
00007,20.9146,13.101184210526315,0.1203
00008,0.3587,0.2363526315789474,0.0558
00009,0.0764,0.0683842105263158,0.0653
00010,21.0438,13.234052631578948,0.1111
00011,57.1851,45.05833684210525,0.1138
00012,24.418,15.646684210526317,1.0747
00013,38.8658,30.627457894736843,0.1261
00014,75.0104,59.11713157894738,1.1191
00015,39.9981,31.589836842105264,0.3751
00016,22.7096,14.673021052631578,1.0688
00017,27.926,17.45156315789474,0.1197
00018,0.3173,0.19313684210526316,0.0566
00019,18.4441,11.962636842105262,1.0763
00020,59.4254,47.02549999999999,1.1074
