Branch,Option,bt_real,bt_user,bt_sys,BinarySize
ix264-00001-00016,"['--disable-thread', '--disable-interlaced', '--bit-depth=all', '--chroma-format=all', '--disable-bashcompletion']",40.2023,0.0000,0.0007,3036872
ix264-00001-00005,"['--disable-win32thread', '--bit-depth=10', '--chroma-format=400', '--enable-bashcompletion']",18.5159,0.0001,0.0007,1730208
ix264-00001-00014,"['--disable-asm', '--disable-opencl', '--disable-interlaced', '--bit-depth=all', '--chroma-format=all', '--disable-bashcompletion']",8.8479,0.0000,0.0010,2343152
ix264-00001-00019,"['--disable-gpl', '--disable-thread', '--disable-win32thread', '--bit-depth=all', '--chroma-format=444', '--enable-bashcompletion']",45.4995,0.0008,0.0000,2887752
ix264-00001-00004,"['--disable-asm', '--disable-opencl', '--disable-thread', '--disable-win32thread', '--bit-depth=all', '--chroma-format=444', '--disable-bashcompletion']",7.5985,0.0000,0.0007,2175400
ix264-00001-00010,"['--disable-opencl', '--disable-thread', '--disable-interlaced', '--bit-depth=10', '--chroma-format=422', '--enable-bashcompletion']",18.7554,0.0005,0.0002,1725056
ix264-00001-00015,"['--disable-asm', '--disable-opencl', '--disable-interlaced', '--bit-depth=all', '--chroma-format=444', '--disable-bashcompletion']",6.6662,0.0006,0.0003,2140784
ix264-00001-00017,"['--disable-asm', '--disable-opencl', '--disable-thread', '--bit-depth=8', '--chroma-format=420', '--disable-bashcompletion']",4.1415,0.0000,0.0008,1475760
ix264-00001-00018,"['--disable-gpl', '--disable-win32thread', '--disable-interlaced', '--bit-depth=all', '--chroma-format=422', '--enable-bashcompletion']",46.6105,0.0000,0.0010,2845592
ix264-00001-00012,"['--disable-asm', '--disable-opencl', '--disable-win32thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=400', '--enable-bashcompletion']",4.3488,0.0006,0.0003,1431944
ix264-00001-00009,"['--disable-win32thread', '--bit-depth=8', '--chroma-format=422', '--enable-bashcompletion']",25.7208,0.0001,0.0010,1938976
ix264-00001-00008,"['--disable-asm', '--disable-opencl', '--disable-thread', '--bit-depth=10', '--chroma-format=422', '--disable-bashcompletion']",3.9624,0.0002,0.0006,1488568
ix264-00001-00002,"['--disable-gpl', '--disable-interlaced', '--bit-depth=all', '--chroma-format=420', '--enable-bashcompletion']",42.1833,0.0005,0.0002,2841120
ix264-00001-00007,"['--disable-asm', '--disable-gpl', '--disable-win32thread', '--bit-depth=8', '--chroma-format=all', '--disable-bashcompletion']",5.6783,0.0005,0.0002,1700456
ix264-00001-00020,"['--disable-asm', '--disable-opencl', '--disable-gpl', '--disable-win32thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=400', '--disable-bashcompletion']",5.2377,0.0000,0.0010,1431944
ix264-00001-00013,"['--disable-asm', '--disable-gpl', '--disable-thread', '--disable-win32thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=400', '--enable-bashcompletion']",5.1660,0.0000,0.0007,1529600
ix264-00001-00006,"['--disable-win32thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=444', '--enable-bashcompletion']",24.3110,0.0000,0.0010,1914016
ix264-00001-00003,"['--disable-asm', '--disable-opencl', '--disable-win32thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=all', '--disable-bashcompletion']",4.3554,0.0000,0.0007,1564256
ix264-00001-00011,"['--disable-interlaced', '--bit-depth=8', '--chroma-format=422', '--disable-bashcompletion']",24.4213,0.0000,0.0007,1914368
ix264-00002-00016,"['--disable-thread', '--disable-interlaced', '--bit-depth=all', '--chroma-format=all', '--disable-bashcompletion']",44.4548,0.0000,0.0010,3036872
ix264-00002-00005,"['--disable-win32thread', '--bit-depth=10', '--chroma-format=400', '--enable-bashcompletion']",18.9350,0.0005,0.0003,1730208
ix264-00002-00014,"['--disable-asm', '--disable-opencl', '--disable-interlaced', '--bit-depth=all', '--chroma-format=all', '--disable-bashcompletion']",9.4991,0.0005,0.0003,2343152
ix264-00002-00019,"['--disable-gpl', '--disable-thread', '--disable-win32thread', '--bit-depth=all', '--chroma-format=444', '--enable-bashcompletion']",45.0302,0.0001,0.0010,2887752
ix264-00002-00004,"['--disable-asm', '--disable-opencl', '--disable-thread', '--disable-win32thread', '--bit-depth=all', '--chroma-format=444', '--disable-bashcompletion']",7.5152,0.0007,0.0004,2175400
ix264-00002-00010,"['--disable-opencl', '--disable-thread', '--disable-interlaced', '--bit-depth=10', '--chroma-format=422', '--enable-bashcompletion']",19.0355,0.0000,0.0010,1725056
ix264-00002-00015,"['--disable-asm', '--disable-opencl', '--disable-interlaced', '--bit-depth=all', '--chroma-format=444', '--disable-bashcompletion']",6.3752,0.0005,0.0003,2140784
ix264-00002-00017,"['--disable-asm', '--disable-opencl', '--disable-thread', '--bit-depth=8', '--chroma-format=420', '--disable-bashcompletion']",4.0053,0.0007,0.0000,1475760
ix264-00002-00018,"['--disable-gpl', '--disable-win32thread', '--disable-interlaced', '--bit-depth=all', '--chroma-format=422', '--enable-bashcompletion']",43.8707,0.0000,0.0007,2845592
ix264-00002-00012,"['--disable-asm', '--disable-opencl', '--disable-win32thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=400', '--enable-bashcompletion']",4.3924,0.0005,0.0003,1431944
ix264-00002-00009,"['--disable-win32thread', '--bit-depth=8', '--chroma-format=422', '--enable-bashcompletion']",25.1508,0.0008,0.0000,1938976
ix264-00002-00008,"['--disable-asm', '--disable-opencl', '--disable-thread', '--bit-depth=10', '--chroma-format=422', '--disable-bashcompletion']",4.0719,0.0005,0.0003,1488568
ix264-00002-00007,"['--disable-asm', '--disable-gpl', '--disable-win32thread', '--bit-depth=8', '--chroma-format=all', '--disable-bashcompletion']",5.6689,0.0005,0.0002,1700456
ix264-00002-00020,"['--disable-asm', '--disable-opencl', '--disable-gpl', '--disable-win32thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=400', '--disable-bashcompletion']",5.2476,0.0000,0.0007,1431944
ix264-00002-00013,"['--disable-asm', '--disable-gpl', '--disable-thread', '--disable-win32thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=400', '--enable-bashcompletion']",5.0838,0.0000,0.0009,1529600
