Br2,max,mean,min
00001,20.9704,18.468847368421052,17.3733
00002,42.6394,39.94463684210527,37.2207
00003,4.6272,4.270057894736842,4.0723
00004,7.8167,7.345605263157895,7.0291
00005,21.6352,18.576094736842105,17.4274
00006,25.9627,23.631578947368425,22.1163
00007,5.7939,5.404031578947367,5.1368
00008,4.8223,3.945805263157895,3.7402
00009,26.1845,24.06112105263158,22.1899
00010,20.0361,18.278157894736843,16.9676
00011,29.0607,23.969126315789474,22.1922
00012,4.6336,4.296331578947368,4.0775
00013,5.3122,5.002794736842104,4.7881
00014,9.4991,8.122842105263157,7.6658
00015,7.832,6.331926315789473,5.9198
00016,47.1752,41.92947368421053,39.1794
00017,4.8327,3.94408947368421,3.7268
00018,48.7896,42.44751052631579,39.5903
00019,47.763,42.102799999999995,39.0845
00020,5.3277,5.11171052631579,4.8812
