,Branch,Option,bt_real,BinarySize
0,ixz-00001-00002,"['--enable-encoders=lzma1,lzma2', '--enable-decoders=lzma1', '--enable-match-finders=hc4,hc3,bt3', '--enable-checks=crc32,crc64,sha256', '--enable-small', '--enable-dependency-tracking', '--enable-fast-install', '--enable-unaligned-access', '--enable-unsafe-type-punning', '--disable-xzdec', '--disable-lzmainfo', '--disable-scripts', '--disable-libtool-lock', '--disable-nls', '--disable-rpath']",10.952,1072480
1,ixz-00001-00003,"['--enable-debug', '--enable-encoders=lzma1,lzma2,x86,armthumb,sparc,arm,ia64,powerpc,delta', '--enable-decoders=lzma1,lzma2', '--enable-match-finders=hc4,hc3,bt2,bt3,bt4', '--enable-checks=crc32,crc64,sha256', '--enable-threads=no', '--enable-assume-ram=128', '--enable-shared=no', '--enable-symbol-versions', '--enable-dependency-tracking', '--enable-unsafe-type-punning', '--enable-fast-install=no', '--disable-option-checking', '--disable-xzdec', '--disable-lzmainfo', '--disable-scripts', '--disable-dependency-tracking', '--disable-nls', '--disable-largefile']",-1.0,-1
2,ixz-00001-00004,"['--enable-debug', '--enable-encoders=lzma1,powerpc', '--enable-decoders=lzma1,armthumb', '--enable-match-finders=bt2,bt4', '--enable-checks=crc32', '--enable-small', '--enable-threads=yes', '--enable-assume-ram=128', '--enable-shared=no', '--enable-symbol-versions', '--enable-sandbox=auto', '--enable-dependency-tracking', '--enable-fast-install', '--enable-static', '--enable-fast-install=no', '--disable-option-checking', '--disable-assembler', '--disable-lzmainfo', '--disable-scripts', '--disable-doc', '--disable-silent-rules', '--disable-libtool-lock', '--disable-nls']",11.342,1064448
3,ixz-00001-00005,"['--enable-debug', '--enable-encoders=lzma1,ia64', '--enable-decoders=lzma1,powerpc', '--enable-match-finders=bt2', '--enable-checks=crc32', '--enable-small', '--enable-threads=posix', '--enable-assume-ram=128', '--enable-shared=no', '--enable-sandbox=auto', '--enable-static', '--disable-assembler', '--disable-lzmadec', '--disable-lzmainfo', '--disable-lzma-links', '--disable-scripts', '--disable-silent-rules', '--disable-dependency-tracking', '--disable-libtool-lock', '--disable-rpath', '--disable-largefile']",-1.0,1215672
4,ixz-00001-00006,"['--enable-debug', '--enable-encoders=lzma1,powerpc', '--enable-decoders=lzma1,ia64', '--enable-match-finders=bt3,bt4', '--enable-checks=crc32,sha256', '--enable-threads=no', '--enable-assume-ram=128', '--enable-shared=no', '--enable-silent-rules', '--enable-fast-install', '--enable-unsafe-type-punning', '--disable-option-checking', '--disable-assembler', '--disable-lzmainfo', '--disable-scripts', '--disable-doc', '--disable-silent-rules', '--disable-dependency-tracking', '--disable-largefile']",-1.0,1215672
5,ixz-00001-00007,"['--enable-encoders=lzma1,delta', '--enable-decoders=lzma1,powerpc', '--enable-match-finders=hc3,hc4', '--enable-checks=crc32,sha256', '--enable-threads=yes', '--enable-shared=no', '--enable-dependency-tracking', '--enable-unaligned-access', '--enable-fast-install=no', '--disable-assembler', '--disable-xzdec', '--disable-lzmadec', '--disable-doc', '--disable-dependency-tracking', '--disable-rpath', '--disable-largefile']",-1.0,-1
6,ixz-00001-00008,"['--enable-encoders=lzma1,armthumb', '--enable-decoders=lzma1,sparc', '--enable-match-finders=hc4,hc3,bt2,bt3,bt4', '--enable-checks=crc32,crc64,sha256', '--enable-threads=yes', '--enable-assume-ram=128', '--enable-silent-rules', '--enable-dependency-tracking', '--enable-unsafe-type-punning', '--enable-static', '--disable-assembler', '--disable-xzdec', '--disable-lzmainfo', '--disable-lzma-links', '--disable-doc', '--disable-silent-rules']",12.0075,1180656
7,ixz-00001-00009,"['--enable-debug', '--enable-encoders=lzma1,armthumb', '--enable-decoders=lzma1,sparc', '--enable-match-finders=hc4,bt2,bt3,bt4', '--enable-checks=crc32', '--enable-threads=posix', '--enable-assume-ram=128', '--enable-dependency-tracking', '--enable-fast-install', '--enable-unaligned-access', '--enable-fast-install=no', '--disable-option-checking', '--disable-xzdec', '--disable-lzma-links', '--disable-doc', '--disable-dependency-tracking', '--disable-libtool-lock', '--disable-nls', '--disable-largefile']",-1.0,-1
8,ixz-00001-00010,"['--enable-encoders=lzma1,powerpc', '--enable-decoders=lzma1,ia64', '--enable-match-finders=hc4,bt3', '--enable-checks=crc32', '--enable-small', '--enable-threads=posix', '--enable-assume-ram=128', '--enable-unaligned-access', '--enable-static', '--enable-fast-install=no', '--disable-option-checking', '--disable-scripts', '--disable-doc', '--disable-silent-rules', '--disable-dependency-tracking', '--disable-rpath']",-1.0,1215672
9,ixz-00001-00011,"['--enable-debug', '--enable-encoders=lzma1,delta', '--enable-decoders=lzma1,sparc', '--enable-match-finders=hc4,bt3,bt4', '--enable-checks=crc32', '--enable-threads=no', '--enable-assume-ram=128', '--enable-dependency-tracking', '--enable-fast-install', '--enable-unaligned-access', '--enable-unsafe-type-punning', '--disable-option-checking', '--disable-assembler', '--disable-xzdec', '--disable-lzmadec', '--disable-lzmainfo', '--disable-lzma-links', '--disable-scripts', '--disable-silent-rules', '--disable-dependency-tracking', '--disable-libtool-lock']",-1.0,-1
10,ixz-00001-00012,"['--enable-debug', '--enable-encoders=lzma1,arm', '--enable-decoders=lzma1,x86', '--enable-match-finders=hc4,bt2', '--enable-checks=crc32', '--enable-threads=no', '--enable-assume-ram=128', '--enable-symbol-versions', '--enable-fast-install', '--enable-unsafe-type-punning', '--enable-static', '--disable-xzdec', '--disable-lzmadec', '--disable-scripts', '--disable-doc', '--disable-silent-rules', '--disable-rpath']",10.627,1037416
11,ixz-00001-00013,"['--enable-debug', '--enable-encoders=lzma1,sparc', '--enable-decoders=lzma1,sparc', '--enable-match-finders=hc4,bt3', '--enable-checks=crc32', '--enable-small', '--enable-threads=yes', '--enable-assume-ram=128', '--enable-symbol-versions', '--enable-silent-rules', '--enable-dependency-tracking', '--enable-unaligned-access', '--enable-unsafe-type-punning', '--enable-static', '--enable-fast-install=no', '--disable-option-checking', '--disable-lzmadec', '--disable-dependency-tracking', '--disable-nls', '--disable-rpath']",-1.0,1215672
12,ixz-00001-00014,"['--enable-encoders=lzma1,powerpc', '--enable-decoders=lzma1,sparc', '--enable-match-finders=bt2,bt4', '--enable-checks=crc32,sha256', '--enable-threads=posix', '--enable-shared=no', '--enable-symbol-versions', '--enable-fast-install', '--enable-fast-install=no', '--disable-lzmadec', '--disable-lzmainfo', '--disable-lzma-links', '--disable-doc', '--disable-dependency-tracking', '--disable-libtool-lock', '--disable-nls', '--disable-largefile']",-1.0,1215672
13,ixz-00001-00015,"['--enable-encoders=lzma1,arm', '--enable-decoders=lzma1,x86', '--enable-match-finders=hc3,bt2,bt3,bt4', '--enable-checks=crc32,crc64,sha256', '--enable-small', '--enable-threads=posix', '--enable-assume-ram=128', '--enable-shared=no', '--enable-symbol-versions', '--enable-unaligned-access', '--disable-assembler', '--disable-xzdec', '--disable-lzmadec', '--disable-lzmainfo', '--disable-lzma-links', '--disable-doc', '--disable-rpath', '--disable-largefile']",11.096499999999999,1092248
14,ixz-00001-00016,"['--enable-debug', '--enable-encoders=lzma1,lzma2,x86,armthumb,sparc,arm,ia64,powerpc,delta', '--enable-decoders=lzma1,lzma2', '--enable-match-finders=bt2,bt3,bt4', '--enable-checks=crc32,sha256', '--enable-threads=posix', '--enable-silent-rules', '--enable-fast-install', '--enable-static', '--enable-fast-install=no', '--disable-lzmadec', '--disable-scripts', '--disable-doc', '--disable-silent-rules', '--disable-dependency-tracking', '--disable-libtool-lock', '--disable-nls', '--disable-rpath']",-1.0,1215672
15,ixz-00001-00017,"['--enable-encoders=lzma1,powerpc', '--enable-decoders=lzma1,sparc', '--enable-match-finders=bt2,bt4', '--enable-checks=crc32,crc64', '--enable-small', '--enable-threads=yes', '--enable-shared=no', '--enable-symbol-versions', '--enable-silent-rules', '--enable-unsafe-type-punning', '--enable-static', '--disable-option-checking', '--disable-xzdec', '--disable-lzmadec', '--disable-lzmainfo', '--disable-scripts', '--disable-doc', '--disable-dependency-tracking', '--disable-largefile']",-1.0,-1
16,ixz-00001-00018,"['--enable-encoders=lzma1,lzma2', '--enable-decoders=lzma1,x86', '--enable-match-finders=hc4,bt2,bt3,bt4', '--enable-checks=crc32,sha256', '--enable-threads=no', '--enable-assume-ram=128', '--enable-dependency-tracking', '--enable-unaligned-access', '--enable-unsafe-type-punning', '--enable-static', '--enable-fast-install=no', '--disable-lzmadec', '--disable-silent-rules', '--disable-libtool-lock', '--disable-largefile']",11.125499999999999,1080984
17,ixz-00001-00019,"['--enable-debug', '--enable-encoders=lzma1,arm', '--enable-decoders=lzma1,ia64', '--enable-match-finders=hc3,hc4', '--enable-checks=crc32,sha256', '--enable-threads=posix', '--enable-shared=no', '--enable-dependency-tracking', '--enable-static', '--enable-fast-install=no', '--disable-option-checking', '--disable-lzmadec', '--disable-lzmainfo', '--disable-doc', '--disable-silent-rules', '--disable-dependency-tracking', '--disable-libtool-lock', '--disable-rpath']",-1.0,1215672
