Br2,max,mean,min
00001,37.605,37.42342105263157,37.326
00002,40.225,38.004421052631585,37.675
00003,36.05,34.02147368421053,33.796
00004,69.528,69.21252631578948,69.01
00005,39.123,37.44521052631578,37.265
00006,67.072,65.24836842105262,64.953
00007,21.094,20.97236842105263,20.846
00008,20.533,20.341421052631578,20.241
00009,65.721,65.37463157894736,65.127
00010,33.458,31.86121052631579,31.657
00011,64.884,64.65610526315788,64.447
00012,38.444,37.30642105263157,37.152
00013,20.455,20.244789473684207,20.166
00014,17.704,17.629421052631578,17.541
00015,34.705,33.39484210526316,33.241
00016,18.351,18.16615789473684,18.098
00017,40.395,40.01789473684211,39.804
00018,20.106,18.804157894736843,18.618
00019,34.71,34.441842105263156,34.339
00020,39.167,37.30436842105263,37.074
