Br2,00001,00002,00003,00004,00005,00006,00007,00008,00009,00010,00011,00012,00013,00014,00015,00016,00017,00018,00019,00020
00001,,38.575,37.502,37.623,37.618,37.553,38.028,37.743,37.617,37.686,37.665,37.546,37.661,37.598,37.577,37.565,37.636,37.563,37.566,37.541
00002,39.032,,37.908,37.969,37.905,38.128,38.084,37.949,37.951,38.08,37.977,37.964,38.064,37.953,37.995,37.923,37.963,37.953,38.008,38.049
00003,34.99,35.142,,34.092,34.051,34.121,34.266,34.301,34.154,34.214,34.04,34.189,34.171,34.174,34.125,34.047,34.124,34.178,34.139,34.106
00004,71.584,71.396,71.566,,69.439,69.455,69.403,69.502,69.414,69.516,69.285,69.331,69.634,69.432,69.381,69.472,69.312,69.374,69.444,69.44
00005,38.85,38.616,38.588,37.553,,37.554,37.663,37.548,37.572,37.723,37.611,37.622,37.678,37.707,37.704,37.586,37.693,37.567,37.582,37.622
00006,67.499,67.12,67.111,65.438,65.766,,65.265,65.461,65.293,65.405,65.322,65.38,65.47,65.457,65.279,65.293,65.376,65.344,65.402,65.297
00007,21.598,21.571,21.193,21.067,21.117,21.113,,21.104,21.064,21.078,21.14,21.111,21.115,21.015,21.067,21.017,21.083,21.071,21.117,21.144
00008,20.946,21.097,20.476,20.431,20.468,20.434,20.571,,20.435,20.546,20.431,20.48,20.575,20.521,20.453,20.426,20.479,20.478,20.493,20.409
00009,67.226,67.464,65.447,65.557,65.619,65.58,65.486,65.459,,65.691,65.669,65.675,65.526,65.666,65.685,65.393,65.495,65.539,65.503,65.617
00010,32.592,32.61,32.761,31.965,31.904,31.922,31.849,32.066,31.921,,31.987,31.972,31.921,31.856,31.891,31.894,31.879,31.902,31.916,31.885
00011,66.68,66.666,64.707,64.947,64.704,64.939,64.94,64.703,64.76,64.804,,64.692,64.889,64.723,64.936,64.818,65.04,64.829,64.81,64.816
00012,38.44,38.469,38.391,37.455,37.35,37.415,37.489,37.264,37.398,37.503,37.434,,37.438,37.404,37.307,37.34,37.435,37.392,37.411,37.415
00013,20.907,20.982,20.377,20.402,20.341,20.387,20.36,20.375,20.429,20.414,20.386,20.348,,20.399,20.37,20.402,20.398,20.358,20.356,20.399
00014,18.218,18.233,18.265,17.756,17.758,17.704,17.723,17.816,17.818,17.817,17.755,17.734,17.744,,17.777,17.752,17.689,17.741,17.707,17.784
00015,34.457,34.351,34.572,33.53,33.56,33.602,33.593,33.661,33.557,33.594,33.501,33.59,33.612,33.644,,33.634,33.591,33.551,33.556,33.58
00016,18.697,18.738,18.241,18.25,18.255,18.265,18.352,18.258,18.29,18.367,18.298,18.276,18.318,18.302,18.287,,18.296,18.287,18.312,18.289
00017,41.191,41.254,40.098,40.179,40.087,40.133,40.108,40.181,40.169,40.217,40.792,40.131,40.118,40.247,40.178,40.141,,40.113,40.106,40.161
00018,19.402,19.369,18.853,18.849,18.825,18.863,18.99,18.866,18.913,18.932,18.914,18.877,19.024,18.971,18.895,18.836,18.947,,18.829,18.915
00019,35.7,35.446,34.655,34.672,34.645,34.573,34.802,34.73,34.727,34.746,34.646,34.666,34.686,34.742,34.603,34.612,34.734,34.658,,34.693
00020,38.73,38.375,38.422,37.412,37.347,37.422,37.498,37.235,37.407,37.614,37.38,37.394,37.488,37.461,37.274,37.297,37.267,37.292,37.332,
