Br2,max,mean,min
00001,38.575,37.677,37.502
00002,39.032,38.045,37.905
00003,35.142,34.24336842105263,34.04
00004,71.584,69.75684210526315,69.285
00005,38.85,37.791526315789476,37.548
00006,67.499,65.68305263157895,65.265
00007,21.598,21.146578947368422,21.015
00008,21.097,20.53415789473684,20.409
00009,67.464,65.75247368421051,65.393
00010,32.761,32.036473684210534,31.849
00011,66.68,65.02121052631578,64.692
00012,38.469,37.56578947368421,37.264
00013,20.982,20.44157894736842,20.341
00014,18.265,17.831105263157895,17.689
00015,34.572,33.72294736842106,33.501
00016,18.738,18.335684210526313,18.241
00017,41.254,40.29494736842104,40.087
00018,19.402,18.95105263157895,18.825
00019,35.7,34.77557894736842,34.573
00020,38.73,37.56036842105264,37.235
