Br2,max,mean,min
00001,40.2949,37.9851052631579,37.6293
00002,39.6005,38.33906315789474,38.1689
00003,35.4638,34.52994210526316,34.3451
00004,70.4163,69.92253684210526,69.6899
00005,39.3811,38.00935263157894,37.7908
00006,68.374,65.98115263157894,65.6832
00007,21.3928,21.297789473684205,21.1359
00008,20.8714,20.69077894736842,20.5266
00009,66.7123,66.09604736842104,65.8687
00010,32.355,32.191489473684214,32.0776
00011,67.4443,65.51962105263156,65.2372
00012,40.5448,37.83603684210526,37.4625
00013,21.1505,20.609352631578947,20.462
00014,19.3156,18.04317368421053,17.8566
00015,37.196,34.089499999999994,33.7678
00016,19.0791,18.57201578947368,18.3551
00017,40.5938,40.42387368421052,40.2848
00018,19.5255,19.076121052631578,18.9704
00019,35.1344,34.97855789473684,34.8535
00020,38.0486,37.69447894736843,37.5223
