Branch,Option,bt_real,bt_user,bt_sys,BinarySize
x264-00006,"['--disable-gpl', '--disable-thread', '--bit-depth=all', '--chroma-format=420', '--disable-bashcompletion']",71.0232,0.0000,0.0010,2879792
x264-00015,"['--disable-asm', '--disable-thread', '--bit-depth=all', '--chroma-format=422', '--enable-bashcompletion']",35.4265,0.0000,0.0008,2271288
x264-00012,"['--disable-thread', '--disable-win32thread', '--bit-depth=all', '--chroma-format=400', '--disable-bashcompletion']",68.3144,0.0007,0.0002,2825856
x264-00014,"['--disable-asm', '--disable-gpl', '--disable-thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=420', '--disable-bashcompletion']",19.9635,0.0009,0.0000,1554512
x264-00005,"['--disable-gpl', '--disable-thread', '--bit-depth=all', '--chroma-format=all', '--disable-bashcompletion']",79.4912,0.0000,0.0010,3094224
x264-00020,"['--disable-thread', '--bit-depth=10', '--chroma-format=400', '--enable-bashcompletion']",34.5131,0.0000,0.0009,1720304
x264-00010,"['--disable-asm', '--disable-thread', '--bit-depth=all', '--chroma-format=444', '--disable-bashcompletion']",39.1360,0.0000,0.0010,2278824
x264-00004,"['--disable-thread', '--disable-win32thread', '--bit-depth=10', '--chroma-format=400', '--enable-bashcompletion']",34.5792,0.0000,0.0009,1720304
x264-00007,"['--disable-asm', '--disable-gpl', '--disable-interlaced', '--bit-depth=10', '--chroma-format=400', '--disable-bashcompletion']",19.9482,0.0009,0.0000,1440352
x264-00017,"['--disable-asm', '--disable-gpl', '--disable-thread', '--disable-win32thread', '--bit-depth=all', '--chroma-format=444', '--enable-bashcompletion']",39.6955,0.0000,0.0010,2278824
x264-00008,"['--disable-gpl', '--disable-win32thread', '--bit-depth=10', '--chroma-format=all', '--enable-bashcompletion']",36.6901,0.0010,0.0000,1866608
x264-00009,"['--bit-depth=8', '--chroma-format=all', '--enable-bashcompletion']",43.2353,0.0006,0.0003,2046072
x264-00019,"['--disable-win32thread', '--bit-depth=8', '--chroma-format=444', '--enable-bashcompletion']",42.1175,0.0000,0.0009,1942672
x264-00001,"['--bit-depth=8', '--chroma-format=422', '--disable-bashcompletion']",40.3514,0.0003,0.0006,1938928
x264-00011,"['--disable-asm', '--disable-gpl', '--bit-depth=all', '--chroma-format=420', '--enable-bashcompletion']",37.4127,0.0000,0.0010,2281400
x264-00016,"['--bit-depth=all', '--chroma-format=all', '--enable-bashcompletion']",75.7663,0.0006,0.0003,3108808
x264-00013,"['--disable-gpl', '--disable-thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=400', '--disable-bashcompletion']",38.9790,0.0000,0.0009,1879304
x264-00018,"['--disable-asm', '--disable-interlaced', '--bit-depth=8', '--chroma-format=400', '--disable-bashcompletion']",20.1859,0.0000,0.0008,1539400
x264-00003,"['--disable-asm', '--disable-thread', '--disable-win32thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=420', '--disable-bashcompletion']",19.9022,0.0000,0.0009,1554512
x264-00002,"['--disable-asm', '--disable-thread', '--disable-win32thread', '--bit-depth=10', '--chroma-format=444', '--enable-bashcompletion']",20.1768,0.0000,0.0010,1488112
