Branch,Option,bt_real,bt_user,bt_sys,BinarySize
ix264-00001-00006,"['--disable-gpl', '--disable-thread', '--bit-depth=all', '--chroma-format=420', '--disable-bashcompletion']",69.7144,0.0000,0.0008,2879792
ix264-00001-00015,"['--disable-asm', '--disable-thread', '--bit-depth=all', '--chroma-format=422', '--enable-bashcompletion']",35.8783,0.0000,0.0010,2271288
ix264-00001-00012,"['--disable-thread', '--disable-win32thread', '--bit-depth=all', '--chroma-format=400', '--disable-bashcompletion']",68.0758,0.0007,0.0002,2825856
ix264-00001-00014,"['--disable-asm', '--disable-gpl', '--disable-thread', '--disable-interlaced', '--bit-depth=8', '--chroma-format=420', '--disable-bashcompletion']",19.4958,0.0009,0.0000,1554512
ix264-00001-00005,"['--disable-gpl', '--disable-thread', '--bit-depth=all', '--chroma-format=all', '--disable-bashcompletion']",73.4773,0.0000,0.0010,3094224
ix264-00001-00020,"['--disable-thread', '--bit-depth=10', '--chroma-format=400', '--enable-bashcompletion']",33.0091,0.0006,0.0002,1720304
ix264-00001-00010,"['--disable-asm', '--disable-thread', '--bit-depth=all', '--chroma-format=444', '--disable-bashcompletion']",36.1599,0.0000,0.0010,2278824
ix264-00001-00004,"['--disable-thread', '--disable-win32thread', '--bit-depth=10', '--chroma-format=400', '--enable-bashcompletion']",32.9775,0.0000,0.0010,1720304
ix264-00001-00007,"['--disable-asm', '--disable-gpl', '--disable-interlaced', '--bit-depth=10', '--chroma-format=400', '--disable-bashcompletion']",18.9078,0.0000,0.0009,1440352
ix264-00001-00017,"['--disable-asm', '--disable-gpl', '--disable-thread', '--disable-win32thread', '--bit-depth=all', '--chroma-format=444', '--enable-bashcompletion']",39.1262,0.0000,0.0009,2278824
ix264-00001-00008,"['--disable-gpl', '--disable-win32thread', '--bit-depth=10', '--chroma-format=all', '--enable-bashcompletion']",36.2325,0.0000,0.0009,1866608
ix264-00001-00009,"['--bit-depth=8', '--chroma-format=all', '--enable-bashcompletion']",42.2148,0.0007,0.0003,2046072
ix264-00001-00019,"['--disable-win32thread', '--bit-depth=8', '--chroma-format=444', '--enable-bashcompletion']",40.1294,0.0000,0.0009,1942672
