Br2,max,mean,min
00001,50.1681,43.950142105263154,40.5242
00002,23.1838,20.91317368421053,19.5403
00003,23.9486,21.092021052631583,19.3717
00004,42.9914,36.28697894736842,32.9775
00005,93.2643,79.49887368421054,73.4773
00006,86.3344,73.38513684210527,69.7144
00007,23.2554,20.479663157894738,18.9078
00008,45.4064,39.554452631578954,36.2325
00009,52.8646,46.00543684210526,42.2148
00010,45.1824,39.268805263157894,36.1599
00011,45.429,39.905068421052626,36.2713
00012,83.936,72.51874210526316,67.452
00013,46.7041,41.5013,38.5303
00014,24.6068,20.71214210526316,19.4958
00015,44.0294,38.457205263157896,35.8783
00016,89.419,81.11121052631579,74.1111
00017,47.5006,39.46548947368421,36.6523
00018,25.4599,21.21325263157895,19.4556
00019,50.0098,43.997321052631584,40.1294
00020,44.4579,35.61642105263158,33.0091
