Br2,00001,00002,00003,00004,00005,00006,00007,00008,00009,00010,00011,00012,00013,00014,00015,00016,00017,00018,00019,00020
00001,,26.58,24.692500000000003,24.7425,24.6945,24.748,24.5785,24.722,24.6255,24.9525,1.062,24.8115,1.0579999999999998,24.9965,25.1215,24.942,24.962,25.216,25.321,25.18
00002,68.0125,,67.60849999999999,68.2015,67.9495,67.7925,67.798,67.841,67.918,68.26400000000001,35.004999999999995,68.3395,36.001999999999995,69.55250000000001,69.001,68.46950000000001,69.6325,69.3055,69.12049999999999,69.7425
00003,29.617,30.463,,29.8035,29.679,29.799,29.8665,29.759,29.630000000000003,29.804,0.108,29.8315,0.108,30.088,30.286,29.8305,30.34,30.4385,30.5085,30.427
00004,36.7485,36.805,36.88,,36.7695,36.874,36.712,36.734,36.7915,36.9625,19.5625,37.075,19.6195,37.209,37.569500000000005,37.029,37.234,37.266,37.4965,37.437
00005,21.3245,22.4825,21.347,21.4295,,21.3645,21.262,21.2935,21.4025,21.392,0.1164999999999999,21.4575,0.1175,21.445,21.7055,21.4255,22.0845,21.714,21.9515,21.8045
00006,65.73400000000001,66.2065,66.19800000000001,66.002,65.71,,65.67699999999999,65.6725,65.8955,65.94399999999999,34.821,66.15549999999999,34.777,66.107,66.84450000000001,66.49199999999999,66.137,67.64949999999999,67.203,67.0505
00007,27.075,27.4415,26.982,27.064,26.969,27.1115,,27.105,27.085,27.134500000000003,1.0615,27.034,1.0630000000000002,27.2925,27.5595,27.21,27.511000000000003,27.5055,27.4605,27.5985
00008,24.4895,25.307,24.3885,24.4675,24.435,24.507,24.399,,24.434,24.507,0.1175,24.491,0.114,24.7435,24.734,24.7045,24.852,24.937,25.0265,24.889000000000003
00009,25.856,26.954,25.8695,25.8015,25.7285,25.894,25.8035,25.855,,25.8225,0.118,25.9015,0.1175,26.0945,26.1835,26.028,26.384500000000003,26.3045,26.466,26.152
00010,46.6595,47.458,46.668,46.7565,46.5235,46.66,46.4525,46.6205,46.6365,,24.54,46.7825,24.619,47.938,47.854,47.0195,47.6045,47.5215,47.73650000000001,47.7745
00011,1.241,1.2905,1.2345000000000002,1.1945,1.1720000000000002,1.23,1.222,1.251,1.2165,1.209,,1.211,1.0074999999999998,1.2615,1.23,1.172,1.2174999999999998,1.225,1.2654999999999998,1.249
00012,37.5925,37.7655,37.6175,37.725,37.605,37.686,37.5065,37.6085,37.631,37.7965,19.9895,,19.9415,37.716,38.132000000000005,42.572,37.9515,38.047,38.3245,38.095
00013,0.271,0.277,0.2735,0.241,0.219,0.2675,0.2585,0.2705,0.2535,0.2315,0.0525,0.2475,,0.2615,0.2804999999999999,0.0545,0.131,0.2645,0.282,0.2725
00014,19.7805,20.244,19.8245,19.8805,19.8125,19.902,19.7795,19.7825,19.779,19.93,0.108,19.886000000000003,0.1075,,20.1655,19.6075,20.0915,20.0375,20.2265,20.1065
00015,41.7565,41.912000000000006,41.82,41.9505,41.642,41.988,41.7165,41.886,42.0005,42.2785,22.0845,42.1505,22.188,41.923,,42.074,42.8835,42.327,42.6345,42.604
00016,19.439,20.624,19.336,19.376,19.3225,19.337,19.331,19.322,19.316000000000003,19.469,0.108,19.4645,0.1065,19.4745,19.6245,,19.6195,19.7025,19.749,19.770000000000003
00017,21.1775,21.6805,21.206,21.2455,21.3335,21.2755,21.296,21.2865,21.2355,21.379,0.11,21.39,0.107,21.521,21.5565,21.534,,21.599,21.6105,21.7705
00018,18.93,19.9805,18.959,19.071,18.961,18.994,18.965,19.0055,19.029,19.113,0.1065,19.059,0.106,19.1385,19.302,19.1445,19.188,,19.3495,19.374
00019,41.4905,42.428,41.585,41.5345,41.4895,41.651,41.4775,41.6205,41.6265,41.765,21.9015,41.786,21.8215,41.863,42.02,41.8515,41.86,42.194500000000005,,42.0625
00020,25.422,26.0875,25.508000000000003,25.4645,25.4165,25.381,25.272,25.665,25.4715,25.378500000000003,1.071,25.6905,1.0735,26.27,25.8025,24.8165,25.947,25.7775,26.103,
