Br2,max,mean,min
00001,26.58,22.474026315789477,1.0579999999999998
00002,69.7425,65.02926315789473,35.004999999999995
00003,30.5085,26.862473684210528,0.108
00004,37.569500000000005,35.19868421052632,19.5625
00005,22.4825,19.322105263157894,0.1164999999999999
00006,67.64949999999999,62.961921052631574,34.777
00007,27.5985,24.48755263157895,1.0615
00008,25.307,22.081236842105262,0.114
00009,26.954,23.33339473684211,0.1175
00010,47.938,44.727631578947374,24.54
00011,1.2905,1.2157894736842105,1.0074999999999998
00012,42.572,36.17384210526316,19.9415
00013,0.282,0.23207894736842108,0.0525
00014,20.244,17.84481578947368,0.1075
00015,42.8835,39.990500000000004,22.0845
00016,20.624,17.49955263157895,0.1065
00017,21.7705,19.174421052631576,0.107
00018,19.9805,17.146105263157896,0.106
00019,42.428,39.68571052631578,21.8215
00020,26.27,23.03252631578947,1.071
