Branch,Option,bt_real,bt_user,bt_sys,BinarySize
sqlite-00006,"['--disable-option-checking', '--disable-libtool-lock', '--disable-amalgamation', '--enable-fast-install', '--enable-releasemode', '--enable-all', '--enable-fts3', '--enable-fts4', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--enable-session']",96.050,91.552,4.257,10218592
sqlite-00015,"['--disable-option-checking', '--disable-libtool-lock', '--disable-amalgamation', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-fts3', '--enable-json1', '--enable-geopoly', '--enable-rtree', '--enable-session', '--enable-gcov']",85.087,80.877,4.023,9033160
sqlite-00012,"['--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-session', '--enable-gcov']",84.993,83.431,1.319,8794376
sqlite-00014,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-tcl', '--disable-readline', '--enable-fast-install', '--enable-tempstore', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-fts3', '--enable-fts4', '--enable-geopoly', '--enable-gcov']",103.120,101.335,1.489,10203856
sqlite-00005,"['--disable-libtool-lock', '--disable-threadsafe', '--disable-readline', '--disable-amalgamation', '--disable-math', '--enable-fast-install', '--enable-editline', '--enable-fts4', '--enable-json1', '--enable-session']",82.366,78.331,3.855,8813696
sqlite-00020,"['--disable-option-checking', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--enable-fast-install', '--enable-releasemode', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-fts5', '--enable-geopoly']",95.921,91.553,4.156,10169536
sqlite-00010,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-readline', '--disable-math', '--enable-releasemode', '--enable-editline', '--enable-memsys5', '--enable-fts4', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--enable-session', '--enable-gcov']",91.494,89.808,1.425,9056568
sqlite-00004,"['--disable-option-checking', '--disable-libtool-lock', '--disable-load-extension', '--enable-fast-install', '--enable-tempstore', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-json1', '--enable-update-limit', '--enable-rtree']",103.485,101.608,1.570,10202064
sqlite-00007,"['--disable-readline', '--enable-fast-install', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-memsys3', '--enable-fts5', '--enable-update-limit', '--enable-rtree', '--enable-gcov']",89.942,88.251,1.432,9681744
sqlite-00017,"['--disable-libtool-lock', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-geopoly', '--enable-rtree', '--enable-session', '--enable-gcov']",84.105,79.909,4.027,9042240
sqlite-00008,"['--disable-option-checking', '--disable-threadsafe', '--disable-readline', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts4', '--enable-json1', '--enable-rtree', '--enable-session', '--enable-gcov']",101.334,99.579,1.473,10068864
sqlite-00009,"['--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--enable-tempstore', '--enable-memsys3', '--enable-fts3', '--enable-gcov']",82.173,80.609,1.332,8465896
sqlite-00019,"['--disable-readline', '--disable-math', '--enable-releasemode', '--enable-all', '--enable-memsys5', '--enable-fts3', '--enable-fts5', '--enable-geopoly']",102.910,101.103,1.501,10189256
sqlite-00001,"['--disable-readline', '--disable-load-extension', '--enable-all', '--enable-memsys3', '--enable-fts4', '--enable-fts5', '--enable-rtree']",102.915,101.049,1.555,10169536
sqlite-00011,"['--disable-largefile', '--disable-threadsafe', '--enable-tempstore', '--enable-memsys5', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--enable-session']",82.714,81.130,1.348,8992656
sqlite-00016,"['--disable-option-checking', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-all', '--enable-memsys5', '--enable-fts3', '--enable-fts5', '--enable-rtree']",95.502,91.270,4.040,10155008
sqlite-00013,"['--disable-largefile', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-memsys3', '--enable-fts5', '--enable-json1', '--enable-geopoly', '--enable-session']",89.307,85.152,3.962,10147616
sqlite-00018,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-load-extension', '--disable-math', '--enable-releasemode', '--enable-editline', '--enable-all', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-json1', '--enable-update-limit', '--enable-rtree']",102.916,101.158,1.466,10173488
sqlite-00003,"['--disable-threadsafe', '--disable-load-extension', '--enable-tempstore', '--enable-all', '--enable-memsys3', '--enable-fts4', '--enable-json1', '--enable-geopoly']",101.475,99.676,1.503,10091928
sqlite-00002,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-editline', '--enable-memsys5', '--enable-fts3', '--enable-fts5', '--enable-json1', '--enable-rtree', '--enable-session']",93.520,89.256,4.076,9971000
