Br2,00001,00002,00003,00004,00005,00006,00007,00008,00009,00010,00011,00012,00013,00014,00015,00016,00017,00018,00019,00020
00001,,38.064,38.324,38.115,38.048,38.033,38.107,38.141,38.207,38.038,38.139,38.104,37.986,38.0,37.995,38.056,38.059,38.378,38.085,39.306
00002,18.978,,18.625,18.694,18.619,18.557,18.632,18.572,18.581,18.587,18.568,18.6,18.512,18.555,18.6,18.511,18.647,18.551,18.57,18.555
00003,18.916,18.433,,18.418,18.404,18.279,18.429,18.378,18.346,18.337,18.272,18.232,18.222,18.25,18.24,18.317,18.856,18.234,18.281,18.348
00004,31.468,31.43,31.397,,31.465,31.49,31.396,31.502,31.367,31.41,31.551,31.447,31.415,31.323,31.513,31.426,31.31,31.412,31.54,31.559
00005,70.39,70.028,70.044,70.222,,70.291,70.106,70.158,70.071,70.188,70.456,70.089,70.104,69.85,69.929,69.705,69.932,70.051,70.021,70.338
00006,65.706,66.176,65.694,65.828,66.012,,65.804,65.738,65.773,65.604,65.777,65.7,65.619,65.555,65.46,65.696,65.506,65.751,65.642,65.739
00007,17.828,17.802,17.762,17.925,17.815,17.781,,17.902,17.817,17.746,17.788,17.744,17.761,17.807,17.771,17.699,17.736,17.841,17.766,17.901
00008,34.555,34.696,34.626,34.801,34.688,34.693,34.654,,34.648,34.737,34.656,34.695,34.535,34.632,34.527,34.46,35.017,34.596,34.629,36.139
00009,40.166,40.311,40.22,40.334,40.259,40.115,40.311,40.555,,40.28,40.142,40.15,40.108,40.167,40.109,40.103,40.219,40.141,40.201,42.101
00010,34.1,34.231,34.158,34.308,34.173,34.176,34.235,34.362,34.513,,34.125,34.114,34.177,34.131,34.155,34.033,34.152,34.189,34.203,34.333
00011,35.962,34.718,34.733,34.776,34.717,34.676,34.713,34.863,34.568,34.663,,34.517,34.583,34.487,34.526,34.439,34.675,34.582,34.589,35.687
00012,64.697,64.838,64.667,64.871,65.124,64.887,64.829,65.961,64.891,64.82,64.812,,64.609,64.661,64.529,64.503,64.643,64.851,64.74,67.891
00013,37.81,36.545,36.567,36.608,36.497,36.495,36.56,36.525,36.513,36.435,36.374,36.296,,36.346,36.341,36.386,36.382,36.44,36.363,36.574
00014,18.278,18.422,18.417,18.356,18.338,18.346,18.417,18.473,18.314,18.369,18.342,18.279,18.321,,18.21,18.248,18.232,18.331,18.334,18.489
00015,33.756,34.039,33.758,33.894,33.902,33.855,33.822,33.878,33.814,33.9,33.808,33.822,33.719,33.697,,33.693,33.681,33.855,33.889,33.878
00016,73.255,70.942,70.988,71.335,71.071,71.089,71.064,71.218,70.949,70.915,71.436,71.033,70.872,70.624,71.042,,70.893,71.003,71.072,72.971
00017,34.099,34.138,34.144,34.34,34.242,34.187,34.231,34.432,34.082,34.161,34.104,34.122,34.114,34.108,34.035,34.102,,34.099,34.207,35.252
00018,18.861,18.604,18.477,18.577,18.498,18.502,18.503,18.51,18.48,18.452,18.428,18.438,18.45,18.396,18.335,18.383,19.744,,18.431,18.606
00019,43.406,38.235,38.113,38.261,38.265,38.223,38.342,38.387,38.172,38.166,38.226,38.22,38.121,38.113,38.104,38.101,38.212,38.237,,39.548
00020,31.429,31.394,31.517,31.485,31.492,31.564,31.534,31.661,31.539,31.482,31.479,31.454,31.364,31.351,31.53,31.412,31.342,31.463,31.457,
