Branch,Option,bt_real,bt_user,bt_sys,BinarySize
isqlite-00001-00006,"['--disable-option-checking', '--disable-libtool-lock', '--disable-amalgamation', '--enable-fast-install', '--enable-releasemode', '--enable-all', '--enable-fts3', '--enable-fts4', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--enable-session']",57.057,53.267,3.677,10169536
isqlite-00001-00015,"['--disable-option-checking', '--disable-libtool-lock', '--disable-amalgamation', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-fts3', '--enable-json1', '--enable-geopoly', '--enable-rtree', '--enable-session', '--enable-gcov']",50.025,46.461,3.466,10169536
isqlite-00001-00012,"['--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-session', '--enable-gcov']",0.009,0.009,0.000,10169536
isqlite-00001-00014,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-tcl', '--disable-readline', '--enable-fast-install', '--enable-tempstore', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-fts3', '--enable-fts4', '--enable-geopoly', '--enable-gcov']",0.010,0.009,0.001,10169536
isqlite-00001-00005,"['--disable-libtool-lock', '--disable-threadsafe', '--disable-readline', '--disable-amalgamation', '--disable-math', '--enable-fast-install', '--enable-editline', '--enable-fts4', '--enable-json1', '--enable-session']",47.559,44.152,3.325,10169536
isqlite-00001-00020,"['--disable-option-checking', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--enable-fast-install', '--enable-releasemode', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-fts5', '--enable-geopoly']",56.856,53.128,3.625,10169536
isqlite-00001-00010,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-readline', '--disable-math', '--enable-releasemode', '--enable-editline', '--enable-memsys5', '--enable-fts4', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--enable-session', '--enable-gcov']",0.009,0.008,0.001,10169536
isqlite-00001-00004,"['--disable-option-checking', '--disable-libtool-lock', '--disable-load-extension', '--enable-fast-install', '--enable-tempstore', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-json1', '--enable-update-limit', '--enable-rtree']",0.009,0.007,0.002,10169536
isqlite-00001-00007,"['--disable-readline', '--enable-fast-install', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-memsys3', '--enable-fts5', '--enable-update-limit', '--enable-rtree', '--enable-gcov']",0.010,0.009,0.001,10169536
isqlite-00001-00017,"['--disable-libtool-lock', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-geopoly', '--enable-rtree', '--enable-session', '--enable-gcov']",49.112,45.578,3.456,10169536
isqlite-00001-00008,"['--disable-option-checking', '--disable-threadsafe', '--disable-readline', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts4', '--enable-json1', '--enable-rtree', '--enable-session', '--enable-gcov']",0.009,0.008,0.001,10169536
isqlite-00001-00009,"['--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--enable-tempstore', '--enable-memsys3', '--enable-fts3', '--enable-gcov']",0.011,0.008,0.003,10169536
isqlite-00001-00019,"['--disable-readline', '--disable-math', '--enable-releasemode', '--enable-all', '--enable-memsys5', '--enable-fts3', '--enable-fts5', '--enable-geopoly']",0.009,0.007,0.002,10169536
isqlite-00001-00011,"['--disable-largefile', '--disable-threadsafe', '--enable-tempstore', '--enable-memsys5', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--enable-session']",0.009,0.007,0.002,10169536
isqlite-00001-00016,"['--disable-option-checking', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-all', '--enable-memsys5', '--enable-fts3', '--enable-fts5', '--enable-rtree']",56.958,53.267,3.575,10169536
isqlite-00001-00013,"['--disable-largefile', '--disable-amalgamation', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-memsys3', '--enable-fts5', '--enable-json1', '--enable-geopoly', '--enable-session']",50.495,47.026,3.379,10169536
isqlite-00001-00018,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-load-extension', '--disable-math', '--enable-releasemode', '--enable-editline', '--enable-all', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-json1', '--enable-update-limit', '--enable-rtree']",0.009,0.007,0.002,10169536
isqlite-00001-00003,"['--disable-threadsafe', '--disable-load-extension', '--enable-tempstore', '--enable-all', '--enable-memsys3', '--enable-fts4', '--enable-json1', '--enable-geopoly']",0.009,0.008,0.001,10169536
isqlite-00001-00002,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-editline', '--enable-memsys5', '--enable-fts3', '--enable-fts5', '--enable-json1', '--enable-rtree', '--enable-session']",55.868,52.161,3.603,10169536
isqlite-00002-00006,"['--disable-option-checking', '--disable-libtool-lock', '--disable-amalgamation', '--enable-fast-install', '--enable-releasemode', '--enable-all', '--enable-fts3', '--enable-fts4', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--enable-session']",0.011,0.007,0.004,9971000
isqlite-00002-00015,"['--disable-option-checking', '--disable-libtool-lock', '--disable-amalgamation', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-fts3', '--enable-json1', '--enable-geopoly', '--enable-rtree', '--enable-session', '--enable-gcov']",0.012,0.009,0.003,9971000
isqlite-00002-00012,"['--disable-libtool-lock', '--disable-largefile', '--disable-threadsafe', '--disable-tcl', '--disable-readline', '--disable-load-extension', '--disable-math', '--enable-fast-install', '--enable-releasemode', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-session', '--enable-gcov']",50.898,50.012,0.726,9971000
isqlite-00002-00014,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-tcl', '--disable-readline', '--enable-fast-install', '--enable-tempstore', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-fts3', '--enable-fts4', '--enable-geopoly', '--enable-gcov']",63.700,62.594,0.901,9971000
isqlite-00002-00005,"['--disable-libtool-lock', '--disable-threadsafe', '--disable-readline', '--disable-amalgamation', '--disable-math', '--enable-fast-install', '--enable-editline', '--enable-fts4', '--enable-json1', '--enable-session']",0.010,0.007,0.003,9971000
isqlite-00002-00020,"['--disable-option-checking', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--enable-fast-install', '--enable-releasemode', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-fts5', '--enable-geopoly']",0.010,0.005,0.005,9971000
isqlite-00002-00010,"['--disable-option-checking', '--disable-libtool-lock', '--disable-largefile', '--disable-readline', '--disable-math', '--enable-releasemode', '--enable-editline', '--enable-memsys5', '--enable-fts4', '--enable-json1', '--enable-update-limit', '--enable-geopoly', '--enable-session', '--enable-gcov']",55.966,55.023,0.775,9971000
isqlite-00002-00004,"['--disable-option-checking', '--disable-libtool-lock', '--disable-load-extension', '--enable-fast-install', '--enable-tempstore', '--enable-editline', '--enable-all', '--enable-memsys3', '--enable-memsys5', '--enable-fts3', '--enable-json1', '--enable-update-limit', '--enable-rtree']",63.645,62.534,0.914,9971000
isqlite-00002-00007,"['--disable-readline', '--enable-fast-install', '--enable-releasemode', '--enable-tempstore', '--enable-editline', '--enable-memsys3', '--enable-fts5', '--enable-update-limit', '--enable-rtree', '--enable-gcov']",51.982,51.041,0.784,9971000
isqlite-00002-00017,"['--disable-libtool-lock', '--disable-tcl', '--disable-readline', '--disable-amalgamation', '--disable-load-extension', '--enable-memsys5', '--enable-fts3', '--enable-fts4', '--enable-geopoly', '--enable-rtree', '--enable-session', '--enable-gcov']",0.011,0.008,0.003,9971000
